Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
AbrahamSimpson_R1	(1, 35.75909090909091)	(2, 36.28787878787879)	(3, 36.14848484848485)	(4, 36.2030303030303)	(5, 36.14393939393939)	(6, 36.374242424242425)	(7, 36.39090909090909)	(8, 36.71818181818182)	(9, 36.096969696969694)	(10, 36.268787878787876)	(15, 36.514545454545456)	(20, 36.36575757575758)	(25, 36.06363636363636)	(30, 36.339696969696966)	(35, 36.20666666666667)	(40, 36.42787878787879)	(45, 36.40090909090909)	(50, 36.17212121212121)	(55, 36.24939393939394)	(60, 36.267575757575756)	(65, 36.32090909090908)	(70, 36.004545454545465)	(75, 36.03878787878788)	(80, 36.05151515151515)	(85, 35.973030303030306)	(90, 36.06393939393939)	(95, 36.20333333333333)	(100, 35.907878787878786)	(105, 36.11787878787878)	(110, 36.10424242424243)	(115, 36.195757575757575)	(120, 36.166060606060604)	(125, 36.05090909090909)	(130, 35.62454545454545)	(135, 36.07757575757576)	(140, 35.86363636363636)	(145, 35.990303030303025)	(150, 35.96515151515152)
AbrahamSimpson_R2	(1, 36.20757575757576)	(2, 36.21666666666667)	(3, 36.28787878787879)	(4, 36.39242424242424)	(5, 36.04090909090909)	(6, 36.21363636363636)	(7, 36.53181818181818)	(8, 36.595454545454544)	(9, 36.301515151515154)	(10, 36.44424242424243)	(15, 36.3230303030303)	(20, 36.36757575757575)	(25, 36.00090909090909)	(30, 36.14575757575758)	(35, 35.993636363636355)	(40, 36.019090909090906)	(45, 36.17636363636363)	(50, 36.089696969696966)	(55, 35.958484848484844)	(60, 35.96606060606061)	(65, 36.07939393939394)	(70, 35.730909090909094)	(75, 36.04242424242425)	(80, 36.026666666666664)	(85, 36.11)	(90, 35.90060606060606)	(95, 35.94272727272727)	(100, 36.018484848484846)	(105, 35.86454545454545)	(110, 35.7269696969697)	(115, 36.04727272727273)	(120, 35.81333333333333)	(125, 35.94151515151515)	(130, 35.58121212121212)	(135, 35.54515151515152)	(140, 35.4669696969697)	(145, 35.55636363636364)	(150, 35.70454545454545)
HomerSimpson_R1	(1, 36.35909090909091)	(2, 36.45)	(3, 36.156060606060606)	(4, 36.198484848484846)	(5, 36.06363636363636)	(6, 36.6)	(7, 36.24848484848485)	(8, 36.52878787878788)	(9, 36.67727272727273)	(10, 36.38575757575758)	(15, 36.40393939393939)	(20, 36.33242424242424)	(25, 36.34181818181818)	(30, 36.199999999999996)	(35, 36.18303030303031)	(40, 36.17939393939394)	(45, 36.18848484848485)	(50, 36.14333333333333)	(55, 36.31424242424243)	(60, 36.10939393939394)	(65, 36.17636363636363)	(70, 36.21333333333333)	(75, 36.15666666666666)	(80, 36.22545454545455)	(85, 36.04333333333334)	(90, 35.979696969696974)	(95, 35.95469696969697)	(100, 35.987878787878785)	(105, 35.96212121212121)	(110, 35.96333333333333)	(115, 35.6760606060606)	(120, 36.13454545454546)	(125, 36.03969696969697)	(130, 36.14333333333333)	(135, 36.03121212121212)	(140, 35.988787878787875)	(145, 35.89060606060606)	(150, 36.07575757575758)
HomerSimpson_R2	(1, 36.13939393939394)	(2, 36.17272727272727)	(3, 36.236363636363635)	(4, 36.45757575757576)	(5, 36.11515151515152)	(6, 36.47121212121212)	(7, 36.49090909090909)	(8, 36.474242424242426)	(9, 36.43333333333333)	(10, 36.339696969696966)	(15, 36.2060606060606)	(20, 36.18030303030303)	(25, 36.228181818181824)	(30, 36.29424242424243)	(35, 36.155757575757576)	(40, 36.25242424242424)	(45, 36.1469696969697)	(50, 36.21848484848485)	(55, 35.8)	(60, 36.06575757575757)	(65, 35.82939393939394)	(70, 35.975151515151516)	(75, 36.00030303030303)	(80, 35.8209090909091)	(85, 35.81090909090909)	(90, 35.85575757575758)	(95, 35.79848484848485)	(100, 35.84666666666667)	(105, 35.84242424242424)	(110, 35.620303030303035)	(115, 35.63212121212121)	(120, 35.87212121212121)	(125, 35.736666666666665)	(130, 35.71757575757576)	(135, 35.50333333333333)	(140, 35.590606060606056)	(145, 35.75484848484849)	(150, 35.736363636363635)
MargeSimpson_R1	(1, 36.01807228915663)	(2, 36.09186746987952)	(3, 36.04066265060241)	(4, 35.97289156626506)	(5, 36.36746987951807)	(6, 36.56475903614458)	(7, 36.480421686746986)	(8, 36.28313253012048)	(9, 36.506024096385545)	(10, 36.44427710843373)	(15, 36.34246987951807)	(20, 36.4566265060241)	(25, 36.13343373493976)	(30, 36.12409638554217)	(35, 36.21656626506024)	(40, 36.158433734939756)	(45, 36.287650602409634)	(50, 36.15873493975904)	(55, 36.235542168674705)	(60, 36.40060240963855)	(65, 36.21355421686747)	(70, 36.0789156626506)	(75, 35.91536144578313)	(80, 36.102560240963854)	(85, 36.03042168674699)	(90, 36.02831325301205)	(95, 36.15481927710843)	(100, 36.00662650602409)	(105, 35.93493975903615)	(110, 35.88524096385542)	(115, 36.07831325301205)	(120, 35.92620481927711)	(125, 35.78975903614458)	(130, 35.880120481927705)	(135, 35.93765060240964)	(140, 35.87048192771084)	(145, 35.88825301204819)	(150, 36.03463855421687)
MargeSimpson_R2	(1, 36.1094674556213)	(2, 35.79585798816568)	(3, 35.95414201183432)	(4, 35.875739644970416)	(5, 36.15828402366864)	(6, 36.34319526627219)	(7, 36.155325443786985)	(8, 36.27218934911242)	(9, 35.88609467455621)	(10, 36.253550295857984)	(15, 36.25029585798817)	(20, 36.27426035502959)	(25, 36.258284023668644)	(30, 36.350591715976336)	(35, 36.14970414201183)	(40, 36.299704142011834)	(45, 36.29940828402367)	(50, 36.07218934911243)	(55, 36.02100591715976)	(60, 36.064201183431955)	(65, 35.96005917159763)	(70, 36.06508875739645)	(75, 36.10236686390532)	(80, 36.06094674556213)	(85, 36.131065088757396)	(90, 35.838461538461544)	(95, 35.784319526627215)	(100, 35.97485207100592)	(105, 35.779289940828406)	(110, 35.65591715976332)	(115, 35.646153846153844)	(120, 35.72603550295858)	(125, 35.744082840236686)	(130, 35.58195266272189)	(135, 35.77633136094674)	(140, 35.586982248520705)	(145, 35.67662721893491)	(150, 35.694526627218934)
PattyBouvier_R1	(1, 36.222727272727276)	(2, 35.99393939393939)	(3, 36.31818181818182)	(4, 36.17121212121212)	(5, 36.58181818181818)	(6, 36.35)	(7, 36.525757575757574)	(8, 36.43333333333333)	(9, 36.554545454545455)	(10, 36.42060606060606)	(15, 36.32060606060606)	(20, 36.35606060606061)	(25, 36.38636363636364)	(30, 36.3160606060606)	(35, 36.42090909090909)	(40, 36.28575757575758)	(45, 36.22090909090909)	(50, 36.220909090909096)	(55, 36.24787878787879)	(60, 36.17060606060606)	(65, 35.89212121212121)	(70, 36.025151515151514)	(75, 36.09121212121212)	(80, 35.979393939393944)	(85, 36.150909090909096)	(90, 36.338181818181816)	(95, 36.20757575757576)	(100, 35.948787878787876)	(105, 36.027575757575754)	(110, 35.941515151515155)	(115, 35.99666666666667)	(120, 35.724848484848486)	(125, 35.790909090909096)	(130, 36.026969696969694)	(135, 35.79)	(140, 35.80393939393939)	(145, 35.70242424242424)	(150, 35.609848484848484)
PattyBouvier_R2	(1, 36.205357142857146)	(2, 36.22767857142857)	(3, 36.37797619047619)	(4, 36.285714285714285)	(5, 36.592261904761905)	(6, 36.382440476190474)	(7, 36.535714285714285)	(8, 36.482142857142854)	(9, 36.354166666666664)	(10, 36.166666666666664)	(15, 36.29226190476191)	(20, 36.37380952380952)	(25, 36.147619047619045)	(30, 36.21934523809524)	(35, 36.19940476190477)	(40, 36.1735119047619)	(45, 36.08154761904762)	(50, 36.14375)	(55, 36.172916666666666)	(60, 36.305952380952384)	(65, 36.083035714285714)	(70, 35.952083333333334)	(75, 36.08958333333334)	(80, 35.96696428571428)	(85, 35.691071428571426)	(90, 35.98571428571429)	(95, 36.02380952380952)	(100, 36.05357142857143)	(105, 35.96577380952381)	(110, 35.76309523809524)	(115, 35.79434523809523)	(120, 35.949107142857144)	(125, 36.117261904761904)	(130, 35.878273809523805)	(135, 35.58690476190476)	(140, 35.75654761904762)	(145, 35.52827380952381)	(150, 35.74181547619048)
SelmaBouvier_R1	(1, 36.338855421686745)	(2, 36.04066265060241)	(3, 35.71536144578313)	(4, 36.015060240963855)	(5, 36.38704819277108)	(6, 36.48192771084337)	(7, 36.28463855421687)	(8, 36.68825301204819)	(9, 36.53765060240964)	(10, 36.341566265060244)	(15, 36.52710843373494)	(20, 36.41897590361445)	(25, 36.3605421686747)	(30, 36.357228915662645)	(35, 36.33343373493976)	(40, 36.50481927710843)	(45, 36.42650602409638)	(50, 36.168072289156626)	(55, 36.24337349397591)	(60, 36.13463855421686)	(65, 36.22620481927711)	(70, 36.20210843373494)	(75, 36.082530120481934)	(80, 36.27951807228916)	(85, 35.93614457831325)	(90, 36.047590361445785)	(95, 36.046987951807225)	(100, 35.99397590361446)	(105, 35.90542168674699)	(110, 36.03493975903614)	(115, 36.03734939759036)	(120, 36.227409638554214)	(125, 36.216566265060244)	(130, 35.86114457831325)	(135, 36.06777108433735)	(140, 35.74548192771084)	(145, 35.96746987951808)	(150, 36.34939759036145)
SelmaBouvier_R2	(1, 35.8698224852071)	(2, 35.94082840236686)	(3, 36.412721893491124)	(4, 36.353550295857985)	(5, 35.8594674556213)	(6, 36.33431952662722)	(7, 36.357988165680474)	(8, 36.428994082840234)	(9, 36.68491124260355)	(10, 36.48254437869822)	(15, 36.31479289940829)	(20, 36.30029585798817)	(25, 36.25355029585799)	(30, 36.21627218934911)	(35, 36.266863905325444)	(40, 36.02041420118343)	(45, 36.24082840236686)	(50, 36.23609467455621)	(55, 35.99260355029586)	(60, 36.15562130177515)	(65, 35.997337278106514)	(70, 36.03136094674556)	(75, 35.87278106508875)	(80, 36.038757396449704)	(85, 36.097041420118344)	(90, 36.11183431952663)	(95, 35.71272189349113)	(100, 35.98224852071006)	(105, 35.78165680473373)	(110, 35.72100591715976)	(115, 35.716568047337276)	(120, 35.83520710059172)	(125, 35.62781065088757)	(130, 35.92662721893491)	(135, 35.56508875739645)	(140, 35.84556213017751)	(145, 35.555325443786984)	(150, 35.555473372781066)
